,participant_id,Condition,Trial_number,Error,Block
157,3,Gradual,11,0.28565903094709083,0
158,4,Sudden,11,0.520721854992004,0
159,5,Gradual,11,0.16797619514520845,0
160,6,Sudden,11,0.20350308893246138,0
161,7,Gradual,11,0.2666412413592816,0
162,8,Sudden,11,0.1916985503211278,0
163,9,Gradual,11,0.17726710761599296,0
164,10,Sudden,11,0.1847626996839653,0
165,11,Gradual,11,0.43913729560374326,0
166,12,Sudden,11,0.3017758903248489,0
167,13,Gradual,11,0.31026573302604704,0
168,0,Sudden,12,,0
169,1,Gradual,12,,0
170,2,Sudden,12,,0
171,3,Gradual,12,0.27793372345295525,0
172,4,Sudden,12,0.6573777403286702,0
173,5,Gradual,12,0.1910407686109855,0
174,6,Sudden,12,0.2205774720043882,0
175,7,Gradual,12,0.27637359239538367,0
176,8,Sudden,12,0.20992717161149177,0
177,9,Gradual,12,0.1913005059969826,0
178,10,Sudden,12,0.2074590546892106,0
179,11,Gradual,12,0.4311237606681886,0
180,12,Sudden,12,0.30403823922025086,0
181,13,Gradual,12,0.34229140890157084,0
182,0,Sudden,13,,0
183,1,Gradual,13,,0
184,2,Sudden,13,,0
185,3,Gradual,13,0.2760479374807078,0
186,4,Sudden,13,0.7876670765774377,0
187,5,Gradual,13,0.22470914539297251,0
188,6,Sudden,13,0.22805676494535532,0
189,7,Gradual,13,0.27590859539196927,0
190,8,Sudden,13,0.21867478668800722,0
191,9,Gradual,13,0.19558579672399035,0
192,10,Sudden,13,0.2277057646722326,0
193,11,Gradual,13,0.41806832237799596,0
194,12,Sudden,13,0.309715935866025,0
195,13,Gradual,13,0.3587795537048237,0
196,0,Sudden,14,,0
197,1,Gradual,14,,0
198,2,Sudden,14,,0
199,3,Gradual,14,0.2746526392941614,0
200,4,Sudden,14,0.8471576683575863,0
201,5,Gradual,14,0.2508262530782345,0
202,6,Sudden,14,0.22270646943958547,0
203,7,Gradual,14,0.2656202653938631,0
204,8,Sudden,14,0.21084526423477834,0
205,9,Gradual,14,0.18648635935903227,0
206,10,Sudden,14,0.23893874937045076,0
207,11,Gradual,14,0.40952238089813847,0
208,12,Sudden,14,0.3174142671843826,0
209,13,Gradual,14,0.3609194493836332,0
210,0,Sudden,15,,0
211,1,Gradual,15,,0
212,2,Sudden,15,,0
213,3,Gradual,15,0.26992459188145623,0
214,4,Sudden,15,0.8118863579566783,0
215,5,Gradual,15,0.2549066485458479,0
216,6,Sudden,15,0.20639830301104686,0
217,7,Gradual,15,0.25430583722592337,0
218,8,Sudden,15,0.19247717992374355,0
219,9,Gradual,15,0.17118209197788936,0
220,10,Sudden,15,0.24344578237174105,0
221,11,Gradual,15,0.41411938728449416,0
222,12,Sudden,15,0.3267618070012832,0
223,13,Gradual,15,0.35399185466705163,0
224,0,Sudden,16,2.665407312471132,0
225,1,Gradual,16,,0
226,2,Sudden,16,,0
227,3,Gradual,16,0.2656756688634657,0
228,4,Sudden,16,0.7297202730452739,0
229,5,Gradual,16,0.23860825125036983,0
230,6,Sudden,16,0.18759948998361076,0
231,7,Gradual,16,0.251629868500597,0
232,8,Sudden,16,0.17624007574290168,0
233,9,Gradual,16,0.1622456750620938,0
234,10,Sudden,16,0.2512221653264288,0
235,11,Gradual,16,0.43559018001246913,0
236,12,Sudden,16,0.33859276493054097,0
237,13,Gradual,16,0.3415914034338893,0
238,0,Sudden,17,2.6320120126820825,0
239,1,Gradual,17,2.6716573632656857,0
240,2,Sudden,17,,0
241,3,Gradual,17,0.265891683497398,0
242,4,Sudden,17,0.6777014692266284,0
243,5,Gradual,17,0.21702757599500525,0
244,6,Sudden,17,0.1763325918347698,0
245,7,Gradual,17,0.26016342827814876,0
246,8,Sudden,17,0.16999369685192803,0
247,9,Gradual,17,0.16794869424722972,0
248,10,Sudden,17,0.26876768956624164,0
249,11,Gradual,17,0.4734176963641402,0
250,12,Sudden,17,0.35255601440747,0
251,13,Gradual,17,0.3242903313388539,0
252,0,Sudden,18,2.598616712893033,0
253,1,Gradual,18,2.626580888133832,0
254,2,Sudden,18,,0
255,3,Gradual,18,0.2652219261417401,0
256,4,Sudden,18,0.694814577837578,0
257,5,Gradual,18,0.20373267260141933,0
258,6,Sudden,18,0.17603549500386573,0
259,7,Gradual,18,0.2748577981390761,0
260,8,Sudden,18,0.17246943712945959,0
261,9,Gradual,18,0.18616432477300027,0
262,10,Sudden,18,0.2891038102935283,0
263,11,Gradual,18,0.5224681706775111,0
264,12,Sudden,18,0.36511765088651915,0
265,13,Gradual,18,0.302939959174539,0
266,0,Sudden,19,2.565221413103983,0
267,1,Gradual,19,2.5814658546865568,0
268,2,Sudden,19,,0
269,3,Gradual,19,0.2523280769958871,0
270,4,Sudden,19,0.7608582353566915,0
271,5,Gradual,19,0.20002702671846326,0
272,6,Sudden,19,0.18256923656569085,0
273,7,Gradual,19,0.28772942891688114,0
274,8,Sudden,19,0.17774708197542186,0
275,9,Gradual,19,0.20669931620514256,0
276,10,Sudden,19,0.29545372969737915,0
277,11,Gradual,19,0.5737241372607722,0
278,12,Sudden,19,0.3709383616651918,0
279,13,Gradual,19,0.28212839547901547,0
280,0,Sudden,20,2.5317916929925133,0
281,1,Gradual,20,2.5363449081300993,0
282,2,Sudden,20,,0
283,3,Gradual,20,0.2229719745393797,0
284,4,Sudden,20,0.8264808756658533,0
285,5,Gradual,20,0.20011949428690692,0
286,6,Sudden,20,0.1921766728888712,0
287,7,Gradual,20,0.29202735676311503,0
288,8,Sudden,20,0.1812517805230371,0
289,9,Gradual,20,0.21797880227640443,0
290,10,Sudden,20,0.27818733557500464,0
291,11,Gradual,20,0.6184559423678263,0
292,12,Sudden,20,0.36682227971802295,0
293,13,Gradual,20,0.2692420296260059,0
294,0,Sudden,21,2.4981375241844717,0
295,1,Gradual,21,2.491223961573641,0
296,2,Sudden,21,,0
297,3,Gradual,21,0.18637861510449033,0
298,4,Sudden,21,0.8522341768746844,0
299,5,Gradual,21,0.20300680563548407,0
300,6,Sudden,21,0.20685253220629876,0
301,7,Gradual,21,0.28470490809624466,0
302,8,Sudden,21,0.18228403857217435,0
303,9,Gradual,21,0.2123847809909079,0
304,10,Sudden,21,0.24808916703746664,0
305,11,Gradual,21,0.6521961916976509,0
306,12,Sudden,21,0.35485731305692414,0
307,13,Gradual,21,0.2685124428016107,0
308,0,Sudden,22,2.463377236965936,0
309,1,Gradual,22,2.4461030150171834,0
310,2,Sudden,22,,0
311,3,Gradual,22,0.15751918504502066,0
312,4,Sudden,22,0.8231435355289034,0
313,5,Gradual,22,0.2131372696818095,0
314,6,Sudden,22,0.2293410493367375,0
315,7,Gradual,22,0.26786171796595554,0
316,8,Sudden,22,0.18392325507551682,0
317,9,Gradual,22,0.19009370324059321,0
318,10,Sudden,22,0.23160907214522183,0
319,11,Gradual,22,0.6749707452932279,0
320,12,Sudden,22,0.34125566804315277,0
321,13,Gradual,22,0.2756741697552001,0
322,0,Sudden,23,2.424328699113053,0
323,1,Gradual,23,2.400982068460726,0
324,2,Sudden,23,,0
325,3,Gradual,23,0.14487079547537274,0
326,4,Sudden,23,0.7440484349091638,0
327,5,Gradual,23,0.23093655935186636,0
328,6,Sudden,23,0.2560214089934441,0
329,7,Gradual,23,0.24729260618162685,0
330,8,Sudden,23,0.1906410074973094,0
331,9,Gradual,23,0.16056649537550502,0
332,10,Sudden,23,0.2529550777765505,0
333,11,Gradual,23,0.6883083388546083,0
334,12,Sudden,23,0.3310424692400916,0
335,13,Gradual,23,0.2808737882653676,0
336,0,Sudden,24,2.372510867921589,0
337,1,Gradual,24,2.355861121904268,0
338,2,Sudden,24,,0
339,3,Gradual,24,0.14593872336690622,0
340,4,Sudden,24,0.6415040627813566,0
341,5,Gradual,24,0.25010990213290596,0
342,6,Sudden,24,0.2785459570204317,0
343,7,Gradual,24,0.227846936387749,0
344,8,Sudden,24,0.20395950460911963,0
345,9,Gradual,24,0.13761461480191609,0
346,10,Sudden,24,0.3169633836329263,0
347,11,Gradual,24,0.691683674746193,0
348,12,Sudden,24,0.32484095689650727,0
349,13,Gradual,24,0.279722715936809,0
350,0,Sudden,25,2.291799147022143,0
351,1,Gradual,25,2.31074017534781,0
352,2,Sudden,25,,0
353,3,Gradual,25,0.152242637158022,0
354,4,Sudden,25,0.5639571898348569,0
355,5,Gradual,25,0.264939014190862,0
356,6,Sudden,25,0.2908196140826653,0
357,7,Gradual,25,0.21087923291719643,0
358,8,Sudden,25,0.2204778055517729,0
359,9,Gradual,25,0.12985570058168316,0
360,10,Sudden,25,0.40294004956705565,0
361,11,Gradual,25,0.6831930587229065,0
362,12,Sudden,25,0.32030898814320696,0
363,13,Gradual,25,0.2811269471285098,0
364,0,Sudden,26,2.1624601123944345,0
365,1,Gradual,26,2.265619228791352,0
366,2,Sudden,26,,0
367,3,Gradual,26,0.1574288579495462,0
368,4,Sudden,26,0.5513738112201737,0
369,5,Gradual,26,0.2742927725402826,0
370,6,Sudden,26,0.2915136487967226,0
371,7,Gradual,26,0.19702790743463236,0
372,8,Sudden,26,0.23490197622426667,0
373,9,Gradual,26,0.13608838478772747,0
374,10,Sudden,26,0.47484205515653544,0
375,11,Gradual,26,0.6646956423028682,0
376,12,Sudden,26,0.31366501589988144,0
377,13,Gradual,26,0.30393474907821116,0
378,0,Sudden,27,1.975211321965265,0
379,1,Gradual,27,2.220498282234894,0
380,2,Sudden,27,,0
381,3,Gradual,27,0.16226342559152737,0
382,4,Sudden,27,0.5934044961283721,0
383,5,Gradual,27,0.27819550552224426,0
384,6,Sudden,27,0.28165732859563075,0
385,7,Gradual,27,0.1885678464284333,0
386,8,Sudden,27,0.24338587297804543,0
387,9,Gradual,27,0.15070131470724124,0
388,10,Sudden,27,0.5031663907620126,0
389,11,Gradual,27,0.641365028763033,0
390,12,Sudden,27,0.30072395794820184,0
