"","x"
"1",0.0499999915372605
"2",0.0695067324490971
"3",0.0499999925567033
"4",0.0742201332462528
"5",0.049999993317557
"6",0.0569153172810704
"7",0.0576026926530152
"8",0.0499999972176763
"9",0.0499999996322625
"10",0.0499999957724868
"11",0.0772190639015987
"12",0.0499999987749753
"13",0.100000008221772
"14",0.35264868850426
"15",0.140094934162108
"16",0.280418085345439
"17",0.100000022848124
"18",0.229204965185227
"19",0.242013323713893
"20",0.183893198207882
"21",0.164262012551499
"22",0.133851607902916
"23",0.208088576805967
"24",0.1283240821442
"25",0.150585136696616
"26",0.149952958998296
"27",0.171727374366429
"28",0.120083241761746
"29",-0.000753091487753579
"30",0.137487311094042
"31",0.14537002597128
"32",0.167116372785107
"33",-0.000739810345285557
"34",-0.000648653412891401
"35",0.111815150595594
"36",-0.00074765829310757
"37",52.07233089346
"38",22.7482543222872
"39",29.8242066816139
"40",10.6915723631779
"41",1641.51862347278
"42",23.4614399641782
"43",10.3043650201208
"44",25.2162221331485
"45",1644.81954293309
"46",1645.36367275957
"47",4.44528811298869
"48",1632.18213157706
