"","x"
"1",0.0499999836375515
"2",0.0500000003904552
"3",0.0499999892753393
"4",0.0499999741800541
"5",0.0499999951489865
"6",0.0499999952573773
"7",0.167125186034243
"8",0.0499999479966201
"9",0.0982616616782065
"10",0.0499999999104383
"11",0.0502210147603188
"12",0.0499999991240189
"13",0.0999999979884457
"14",0.100000007991105
"15",0.100000067587379
"16",0.102876920507902
"17",0.114782267773442
"18",0.1000000087968
"19",0.436428739394506
"20",0.112823858572989
"21",0.226045145856057
"22",0.12051180778858
"23",0.0996847538159985
"24",0.132109374812626
"25",0.151404286830822
"26",-0.000757619149958587
"27",-0.000692118970059475
"28",-0.000651068166067405
"29",-0.000719284943289522
"30",-0.000755506240929583
"31",0
"32",-0.000754600708488582
"33",0
"34",-0.000676423074415449
"35",-0.000731962397463543
"36",-0.000718681254995521
"37",5.62762454278927
"38",1672.3235644024
"39",1637.49792660802
"40",1642.41804324329
"41",1652.67288060871
"42",1650.57761168224
"43",11.441383829934
"44",1657.9752366317
"45",19.6871530224017
"46",1666.4098474928
"47",1773.91241018154
"48",1682.51494083414
