"","f_a","f_v","f_ter","f_wald_gsq"
"1",0.0499999836375515,0.0999999979884457,0.151404286830822,5.62762454278927
"2",0.0500000003904552,0.100000007991105,-0.000757619149958587,1672.3235644024
"3",0.0499999892753393,0.100000067587379,-0.000692118970059475,1637.49792660802
"4",0.0499999741800541,0.102876920507902,-0.000651068166067405,1642.41804324329
"5",0.0499999951489865,0.114782267773442,-0.000719284943289522,1652.67288060871
"6",0.0499999952573773,0.1000000087968,-0.000755506240929583,1650.57761168224
"7",0.167125186034243,0.436428739394506,0,11.441383829934
"8",0.0499999479966201,0.112823858572989,-0.000754600708488582,1657.9752366317
"9",0.0982616616782065,0.226045145856057,0,19.6871530224017
"10",0.0499999999104383,0.12051180778858,-0.000676423074415449,1666.4098474928
"11",0.0502210147603188,0.0996847538159985,-0.000731962397463543,1773.91241018154
"12",0.0499999991240189,0.132109374812626,-0.000718681254995521,1682.51494083414
