"","x"
"1",0.0499999987156572
"2",0.0499999990511887
"3",0.049999997740793
"4",0.0499999965093
"5",0.0902023785526491
"6",0.049999991549147
"7",0.0499999925799273
"8",0.0499999978275235
"9",0.0834478736380584
"10",0.0722096358521414
"11",0.049999999709889
"12",0.0499999961830374
"13",0.100000138373725
"14",0.100023982875742
"15",0.099999997263516
"16",0.100000014551351
"17",0.154503609765443
"18",0.0999999661287073
"19",0.099999996286312
"20",0.100000037700791
"21",0.125830949129962
"22",0.105314721541541
"23",0.0999999997685894
"24",0.100000017680239
"25",1633.2354079544
"26",1755.04717707195
"27",1743.46787346202
"28",1660.71446428402
"29",10.8387186075517
"30",1639.11237159667
"31",1702.4609674366
"32",1637.5055330575
"33",26.0295461696947
"34",25.5372795569169
"35",1684.50993996666
"36",1658.71456237018
"37",-0.000679741523337667
"38",-0.000662536308286062
"39",-0.000674006451653799
"40",-0.000733168243761072
"41",0
"42",-0.00067913783158147
"43",-0.00070268181007314
"44",-0.000691513512583502
"45",0.0638501125295154
"46",0
"47",-0.000751278996446972
"48",-0.00071173718641609
